"","WatchName","ratings","Price"
"1","Mr. Daddy 2.0 Black Watch DZ7396","128","17,997"
"2","Mega Chief Analog Grey Dial Men's Watch-DZ4500","350","10,747"
"3","Analog Black Dial (Big dial) Men's Watch-DZ7395","325","33,995"
"4","Analog Black Dial Men's Watch-DZ4283","652","21,495"
"5","Chi Chronograph Black Dial Men's Watch-DZ4318","742","21,495"
"6","Mega Chief Analog Men's Watch - Dz4329 (Black Dial Black Colored Strap)","341","21,495"
"7","Split Two Tone Watch DZ4587","19","10,998"
"8","Analog Black Dial Men's Watch-DZ1206","1,859","11,995"
"9","Diesel Analog Black Dial Unisex's Watch-DZ1819","266","7,995"
"10","Chronograph Black Dial WomenMen Watch-DZ4308","515","19,995"
"11","Diesel Analog Black Over sized dial Men's Watch-DZ4519","52","19,995"
"12","Timeframe Analog Black Dial Men's Watch-DZ4546","6","12,897"
"13","Diesel Axial Digital Black Dial Men's Watch-DZT2014","57","10,398"
"14","Griffed Mini Leather Watch - DZ4604","3","19,995"
"15","Chronograph Black Dial Men's Watch-DZ4338","217","21,495"
"16","Chi Analog Black Dial Men's Watch-DZ4323","469","13,997"
"17","Chi Chronograph Black Dial Men's Watch-DZ4344","165","19,995"
"18","Split Analog Gold Dial Men's Watch-DZ4590","4","21,995"
"19","Griffed Analog Red Dial Men's Watch-DZ4620","6","16,995"
"20","Chi Chronograph Black Dial Men's Watch-DZ4309","243","21,495"
"21","Baby Chief Analog Black Dial Men's Watch-DZ4592","3","14,796"
"22","Analog Red Dial Men's Watch-DZ4318I","10","19,495"
"23","DieseI Analog Black Dial Men's Watch-DZ4204","436","10,995"
"24","Analog Black Dial Men's Watch-DZ1631","9","4,697"
"25","Master Chief Analog Black Over sized dial Men's Watch - DZ1657","1,019","13,995"
"26","Chronograph Blue Dial (Big Dial) Men's Watch - DZ1618","218","8,397"
"27","Analog Grey Dial Men's Watch-DZ4290","425","18,495"
"28","Mens Chronograph Watch - DZ4504I (Black_Free Size)","4","10,495"
"29","Mr. Daddy 2 Analog Black Dial Men's Watch-DZ7435","17","33,995"
"30","Cliffhanger Analog Blue Dial Men's Watch-DZ1998","15","11,995"
"31","Diesel Men's Mega Chief Analog or Digital Watch","22","21,495"
"32","Mega Chief Analog-Digital Black Dial Men's Watch-DZ4552","10","21,495"
"33","Split Analog Black Dial Men's Watch-DZ4625","1","21,495"
"34","Baby Chief Analog Black Dial Men's Watch-DZ4566","15","21,495"
"35","Baby Chief Analog Black Dial Men's Watch-DZ4617","3","21,495"
"36","Chi Analog Grey Dial Men's Watch-DZ1206I","7","11,995"
"37","Analog Black Dial Men's Watch-DZ4344I","3","19,995"
"38","Diesel Split Analog Black Dial Men's Watch-DZ4589","9","21,994"
"39","Cliffhanger Analog Black Dial Men's Watch-DZ2151","2","16,995"
"40","Griffed Analog Black Dial Men's Watch-DZ4576","3","19,495"
"41","Clasher Analog-Digital Black Dial Men's Watch-DZ7462","7","32,495"
"42","Diesel Fadelite Digital Black Dial Men's Watch-DZT2019","66","21,995"
